#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CASP1	P2RY2	9606.ENSP00000433138	9606.ENSP00000310305	0	0	0	0	0.062	0	0	0.395	0.408
CASP1	NLRP3	9606.ENSP00000433138	9606.ENSP00000337383	0	0	0	0	0.150	0.307	0.900	0.999	0.999
CASP1	NLRC3	9606.ENSP00000433138	9606.ENSP00000352039	0	0	0	0	0.103	0	0	0.682	0.703
CASP1	NCF2	9606.ENSP00000433138	9606.ENSP00000356505	0	0	0	0	0.328	0	0	0.256	0.478
CASP1	TSPO	9606.ENSP00000433138	9606.ENSP00000379563	0	0	0	0	0.146	0	0	0.330	0.404
CBR1	HPGDS	9606.ENSP00000290349	9606.ENSP00000295256	0	0	0	0	0.067	0.056	0	0.394	0.420
CBR1	UGT2B17	9606.ENSP00000290349	9606.ENSP00000320401	0	0	0	0	0.045	0.067	0.900	0.262	0.925
CCDC80	LRRC32	9606.ENSP00000206423	9606.ENSP00000384126	0	0	0	0	0.085	0.100	0	0.414	0.475
CCDC80	COL5A2	9606.ENSP00000206423	9606.ENSP00000364000	0	0	0	0	0.386	0.045	0	0.206	0.494
CCN2	VWF	9606.ENSP00000356954	9606.ENSP00000261405	0	0	0	0	0.049	0	0	0.883	0.884
CCN2	WNT5A	9606.ENSP00000356954	9606.ENSP00000264634	0	0	0	0	0.109	0	0	0.377	0.421
CCN2	IGFBP7	9606.ENSP00000356954	9606.ENSP00000295666	0	0	0	0	0.216	0	0	0.904	0.921
CCN2	S100A6	9606.ENSP00000356954	9606.ENSP00000357709	0	0	0	0	0.056	0	0	0.394	0.403
CCN2	ENG	9606.ENSP00000356954	9606.ENSP00000362299	0	0	0	0	0.064	0	0	0.419	0.433
CCN2	TNMD	9606.ENSP00000356954	9606.ENSP00000362122	0	0	0	0	0.042	0	0	0.443	0.444
CCN2	COL5A2	9606.ENSP00000356954	9606.ENSP00000364000	0	0	0	0	0.242	0	0	0.380	0.510
CCN2	VEGFC	9606.ENSP00000356954	9606.ENSP00000480043	0	0	0	0	0.171	0	0	0.606	0.659
CDH7	CDH9	9606.ENSP00000381058	9606.ENSP00000231021	0	0	0.048	0.961	0.056	0	0.540	0.415	0.725
CDH9	CNTN5	9606.ENSP00000231021	9606.ENSP00000435637	0	0	0	0	0.130	0	0	0.339	0.401
CLEC3B	EXOSC7	9606.ENSP00000296130	9606.ENSP00000265564	0	0.574	0	0	0	0	0	0.110	0.605
CLEC3B	ENG	9606.ENSP00000296130	9606.ENSP00000362299	0	0	0	0	0.129	0	0	0.441	0.492
CLEC4G	TYROBP	9606.ENSP00000327599	9606.ENSP00000262629	0	0	0	0	0.109	0.073	0	0.434	0.491
CNGA1	RGS9BP	9606.ENSP00000384264	9606.ENSP00000334134	0	0	0	0	0.081	0	0	0.452	0.475
CNGA1	RD3	9606.ENSP00000384264	9606.ENSP00000355969	0	0	0	0	0	0.095	0	0.378	0.413
COL26A1	COL5A2	9606.ENSP00000318234	9606.ENSP00000364000	0	0	0	0.593	0	0	0.400	0.148	0.467
COL26A1	COL9A1	9606.ENSP00000318234	9606.ENSP00000349790	0	0	0.107	0.610	0.063	0	0.400	0.198	0.543
COL5A2	COL9A1	9606.ENSP00000364000	9606.ENSP00000349790	0	0	0.154	0.703	0	0	0.400	0.451	0.697
CYBA	TYROBP	9606.ENSP00000261623	9606.ENSP00000262629	0	0	0	0	0.370	0	0	0.200	0.475
CYBA	WNT5A	9606.ENSP00000261623	9606.ENSP00000264634	0	0	0	0	0	0	0.500	0.067	0.513
CYBA	VAV1	9606.ENSP00000261623	9606.ENSP00000472929	0	0	0	0	0.135	0	0.500	0.183	0.616
CYBA	NCF2	9606.ENSP00000261623	9606.ENSP00000356505	0	0	0	0	0.145	0.292	0.900	0.999	0.999
DEF6	VAV1	9606.ENSP00000319831	9606.ENSP00000472929	0	0	0	0	0.243	0	0	0.254	0.411
DKK4	WNT16	9606.ENSP00000220812	9606.ENSP00000222462	0	0	0	0	0.044	0.045	0.650	0.396	0.781
DKK4	WNT7A	9606.ENSP00000220812	9606.ENSP00000285018	0	0	0	0	0.044	0.045	0.650	0.445	0.798
DKK4	WNT5A	9606.ENSP00000220812	9606.ENSP00000264634	0	0	0	0	0	0.045	0.650	0.541	0.833
DLX5	SIX4	9606.ENSP00000498116	9606.ENSP00000216513	0	0	0	0	0.075	0	0	0.467	0.486
DLX5	MAFB	9606.ENSP00000498116	9606.ENSP00000362410	0	0	0	0	0.064	0	0	0.464	0.477
DNAJB8	HSPB7	9606.ENSP00000417418	9606.ENSP00000364870	0	0	0	0	0.059	0.054	0	0.417	0.435
DOCK2	MYO1F	9606.ENSP00000429283	9606.ENSP00000494550	0	0	0	0	0.293	0	0	0.488	0.623
DOCK2	VAV1	9606.ENSP00000429283	9606.ENSP00000472929	0	0	0	0	0.265	0.292	0	0.555	0.748
DPEP2	RNASE6	9606.ENSP00000458977	9606.ENSP00000302046	0	0	0	0	0.309	0	0	0.186	0.414
DPEP2	TBXAS1	9606.ENSP00000458977	9606.ENSP00000389414	0	0	0	0	0.225	0	0	0.305	0.439
DPEP2	MYO1F	9606.ENSP00000458977	9606.ENSP00000494550	0	0	0	0	0.409	0	0	0	0.409
E2F5	LIN54	9606.ENSP00000398124	9606.ENSP00000341947	0	0	0	0	0.084	0.345	0.500	0.590	0.860
ENG	VWF	9606.ENSP00000362299	9606.ENSP00000261405	0	0	0	0	0.188	0	0	0.667	0.718
ENG	IGFBP7	9606.ENSP00000362299	9606.ENSP00000295666	0	0	0	0	0.129	0.292	0	0.152	0.431
ENG	VEGFC	9606.ENSP00000362299	9606.ENSP00000480043	0	0	0	0	0.135	0	0	0.418	0.475
EXOSC7	MRNIP	9606.ENSP00000265564	9606.ENSP00000292586	0	0	0	0	0	0.429	0	0	0.429
EXOSC7	PAPOLB	9606.ENSP00000265564	9606.ENSP00000384700	0	0	0	0	0	0	0	0.464	0.464
EXOSC7	PNPT1	9606.ENSP00000265564	9606.ENSP00000400646	0	0	0	0	0.147	0	0.900	0.586	0.961
FABP2	MUC2	9606.ENSP00000274024	9606.ENSP00000494061	0	0	0	0	0.056	0	0	0.396	0.405
FABP2	RHD	9606.ENSP00000274024	9606.ENSP00000339577	0	0	0	0	0	0	0	0.408	0.408
FABP2	RHCE	9606.ENSP00000274024	9606.ENSP00000294413	0	0	0	0	0	0	0	0.418	0.418
FAM153A	FAM153B	9606.ENSP00000411506	9606.ENSP00000427684	0	0	0	0.986	0.138	0.601	0	0.049	0.644
