"Gene symbol","GSM96454","GSM96455","GSM96456","GSM96457","GSM96458","GSM96459","GSM96461","GSM96462","GSM96463","GSM96464","GSM96466","GSM96467","GSM96468","GSM96469","GSM96470","GSM96471","GSM96472","GSM96473","GSM96474","GSM96475","GSM96476","GSM96477","GSM96478","GSM96479","GSM96480","GSM96481","GSM96482","GSM96483"
"SSX1",0,0,0.084572,0,0.07376,0,0,0,0.044287,0.0691,0,0,0.019234,0.062915,0.014829,0,0,0.10845,0,0,0,0.076213,0.39978,0,0,0.121256,0,0.10024
"SSX2B///SSX2",2.59732766666667,71.5962313333333,1.174583,1.332287,1.645454,1.91410766666667,1.380892,1.590614,2.06809366666667,2.101958,1.19281033333333,1.95425733333333,1.56150566666667,1.61375733333333,19.364534,29.4316976666667,33.3031146666667,22.0926223333333,35.622189,19.3212713333333,44.716982,20.2200053333333,20.0997876666667,20.4862923333333,16.9524266666667,22.2076943333333,19.8326523333333,20.742697
"SSX3",0,0,0,0,0,0,0.039918,0,0,0,0.37894,0.086789,0,0.11218,0,0,0,0,0,0,0,0,0,0.060488,0,0,0,0
"SSX4B///SSX4",0,1.341358,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266862,0,0,0,0,0.438573,0,0,0,0,0,0,0
"SSX5",0,0,0.415685,0.200561,0.142224,0.25366,0.168242,0,0.071632,0.065679,0.001554,0.344828,0.063093,0.425454,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ST13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445798,0
"ST3GAL5",17.879138,18.608385,4.291776,6.28242,21.784657,11.212889,11.891292,9.109575,6.743073,5.818037,8.392963,18.756287,9.159981,7.407657,52.322911,126.021148,31.918931,10.378748,69.388788,81.913417,13.107309,36.221211,19.4621,37.303598,29.911982,13.703487,15.340484,16.976504
"ST6GAL2",0.507679,0,0.613436,0.714633,0.873878,0.719862,0.392946,0.715768,0.84447,1.023508,1.01955,0.620678,0.859061,0.788354,0.765647,0,0,0,0,0.808219,0.711936,0,0.39487,0.035606,0.033716,0,0.882933,0.160403
"ST6GALNAC5",0,1.324994,0.6451,0.338683,0.10383,0.907718,0.459981,0.196659,0.068718,1.324519,0.431456,0.480391,0.434192,0.579189,0.395165,0.142534,0.037932,0.993864,0.182864,0.261405,0.136929,0.615684,0.799854,0.346169,0.850436,0.73437,0.214696,0.800149
"ST6GALNAC6",1.45959166666667,1.47699933333333,0.981951,0.886091333333333,0.642227,1.235527,0.756492666666667,0.726630333333333,0.518624666666667,0.967611333333333,0.618634333333333,0.961061,1.06913533333333,0.948573666666667,1.276848,0.766892666666667,1.593863,1.448487,1.540467,0.847378333333333,0.412994333333333,1.28906766666667,0.959585666666667,0.988622666666667,1.575544,0.900530333333333,1.461198,1.122991
"STAC3",0.693389,0.682013,0.687285,0.681758,0.937623,0.68992,0.584027,0.999506,1.054714,0.644116,0.599504,1.092423,0.548767,0.816004,0.066132,0.312632,0.375224,0.062954,0.346242,0.064639,0.224765,0.361575,0.633799,0.32609,0,1.331899,0,0.316732
"STAG2",0.691317,0,2.464141,2.283354,3.148652,0.523299,1.542526,0.934343,1.39143,1.115658,2.332501,1.64019,0.697117,1.476076,0.113504,0,0.351452,0,0,0.485382,0.678766,0,0.02985,0.154512,0,0,0,0.165789
"STAG3L2",1.913834,1.244492,2.12743,4.349751,4.396556,5.66916,4.740464,5.549953,2.548855,3.859078,2.665872,4.944643,3.374054,3.881937,2.151883,0.806366,1.482572,0.87093,1.492834,0.730005,1.212594,1.332181,1.576406,1.588543,0.992206,2.341564,1.494865,0.96965
"STAG3L3",1.557864,9.835951,0.749976,1.11629,1.507704,1.921956,0.986346,1.417096,0.969689,1.38665,1.228875,0.832931,1.087597,0.568268,1.782957,2.987798,11.324298,3.40622,13.570263,4.902908,7.628127,4.227521,3.721295,3.117435,2.822375,5.010964,3.305866,2.760887
"STAMBP",8.551525,6.594128,13.896079,11.060734,22.843622,8.00153,14.842595,16.211943,7.951811,13.395336,12.586182,11.057206,10.318431,8.475441,18.891606,13.499132,3.577817,4.977007,11.574257,14.587362,8.590148,2.099625,7.72156,10.600314,8.472715,1.322826,7.810585,15.990022
"STAMBPL1",0.169996,0.516912,0.752714,0.459796,0.674798,0.864444,0.714422,0.813459,0.542104,0.715749,0.911944,0.663618,0.910267,0.452128,0.718868,0.261376,0.185946,0.646283,0.866016,0.383246,0.100359,0.598765,0.394189,0.415742,0.218083,0.849322,1.272377,0.496895
"STAP1",0,0,0,0,0,0,0,0,0,0,0,0.717384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STAP2",0,0,0,0,0,0.029389,0,0,0.120074,0,0.133274,0.015649,0.020029,0,0,0,0,0,0,0.125239,0,0,0,0,0,0,0,0
